date,fremont_bridge_nb,fremont_bridge_sb,year,month,day,hour,day_of_week,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,pressure,summary,temperature,time,visibility,windBearing,windSpeed,precipType
2012-10-03 00:00:00,4.0,9.0,2012,10,3,0,2,53.57,0.0,43.99,0.7,clear-night,0.0,0.0,1025.66,Clear,53.57,1349247600.0,10.0,12.0,7.52,
2012-10-03 01:00:00,4.0,6.0,2012,10,3,1,2,52.96,0.0,44.62,0.73,clear-night,0.0,0.0,1026.15,Clear,52.96,1349251200.0,10.0,8.0,7.46,
2012-10-03 02:00:00,1.0,1.0,2012,10,3,2,2,52.25,0.0,43.71,0.73,clear-night,0.0,0.0,1026.53,Clear,52.25,1349254800.0,10.0,13.0,7.33,
2012-10-03 03:00:00,2.0,3.0,2012,10,3,3,2,51.91,0.0,41.41,0.67,clear-night,0.0,0.0,1026.82,Clear,51.91,1349258400.0,10.0,356.0,9.67,
2012-10-03 04:00:00,6.0,1.0,2012,10,3,4,2,51.64,0.0,39.61,0.63,clear-night,0.0,0.0,1027.15,Clear,51.64,1349262000.0,10.0,357.0,10.96,
2012-10-03 05:00:00,21.0,10.0,2012,10,3,5,2,51.35,0.0,40.29,0.66,clear-night,0.0,0.0,1027.66,Clear,51.35,1349265600.0,10.0,10.0,8.3,
2012-10-03 06:00:00,105.0,50.0,2012,10,3,6,2,50.98,0.0,38.23,0.62,clear-night,0.0,0.0,1027.9,Clear,50.98,1349269200.0,10.0,8.0,8.97,
2012-10-03 07:00:00,257.0,95.0,2012,10,3,7,2,44.82,0.0,39.81,0.68,clear-night,0.0,0.0,1028.39,Clear,49.98,1349272800.0,10.0,14.0,14.2,
2012-10-03 08:00:00,291.0,146.0,2012,10,3,8,2,50.48,0.0,40.06,0.67,clear-day,0.0,0.0,1028.65,Clear,50.48,1349276400.0,10.0,9.0,9.26,
2012-10-03 09:00:00,172.0,104.0,2012,10,3,9,2,51.73,0.0,39.18,0.62,clear-day,0.0,0.0,1028.8,Clear,51.73,1349280000.0,10.0,11.0,10.09,
2012-10-03 10:00:00,72.0,46.0,2012,10,3,10,2,53.66,0.0,40.06,0.6,clear-day,0.0,0.0,1029.17,Clear,53.66,1349283600.0,10.0,12.0,10.19,
2012-10-03 11:00:00,10.0,32.0,2012,10,3,11,2,55.3,0.19,40.02,0.56,clear-day,0.0,0.0,1029.24,Clear,55.3,1349287200.0,10.0,6.0,11.56,
2012-10-03 12:00:00,35.0,41.0,2012,10,3,12,2,56.79,0.0,39.07,0.51,clear-day,0.0,0.0,1028.92,Clear,56.79,1349290800.0,10.0,351.0,13.81,
2012-10-03 13:00:00,42.0,48.0,2012,10,3,13,2,58.82,0.19,38.66,0.47,clear-day,0.0,0.0,1028.43,Clear,58.82,1349294400.0,10.0,350.0,14.02,
2012-10-03 14:00:00,77.0,51.0,2012,10,3,14,2,59.5,0.0,38.36,0.45,clear-day,0.0,0.0,1027.72,Clear,59.5,1349298000.0,10.0,347.0,14.75,
2012-10-03 15:00:00,72.0,92.0,2012,10,3,15,2,60.98,0.0,39.35,0.45,clear-day,0.0,0.0,1026.84,Clear,60.98,1349301600.0,10.0,353.0,10.36,
2012-10-03 16:00:00,133.0,182.0,2012,10,3,16,2,60.82,0.0,38.25,0.43,clear-day,0.0,0.0,1026.53,Clear,60.82,1349305200.0,10.0,349.0,10.71,
